index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.zeit.de/news/2025-01/01/frostiger-start-ins-neue-jahr-im-bergland-winterlich,https://www.zeit.de/news/2025-01/01/frostiger-start-ins-neue-jahr-im-bergland-winterlich,0,www.zeit.de,Wetter: Frostiger Start ins neue Jahr - im Bergland winterlich,Hier finden Sie Informationen zu dem Thema „Wetter“. Lesen Sie jetzt „Frostiger Start ins neue Jahr - im Bergland winterlich“.,https://img.zeit.de/news/2025-01/01/frostiger-start-ins-neue-jahr-im-bergland-winterlich-image-group/wide__1300x731,2025-01-01T09:56:20Z,,"Die ersten Tage des neuen Jahres präsentieren sich in Sachsen grau und kalt. Wie der Deutsche Wetterdienst (DWD) vorhersagt, bringt eine Kaltfront in der Nacht zum Donnerstag Niederschläge, die im Be… [+796 chars]",,de,'Schnee Wetterdienst'
https://www.focus.de/regional/wetter/sprung-ueber-nacht-ungewoehnlich-sowas-sagt-meteorologe-ueber-deutsches-winter-wetter-habe-ich-noch-nie-gesehen_32fbee17-3a59-4d5a-9deb-dd80bfd7894c.html,https://www.focus.de/regional/wetter/sprung-ueber-nacht-ungewoehnlich-sowas-sagt-meteorologe-ueber-deutsches-winter-wetter-habe-ich-noch-nie-gesehen_32fbee17-3a59-4d5a-9deb-dd80bfd7894c.html,0,www.focus.de,"„Sprung über Nacht ungewöhnlich“ - „Sowas“, sagt Meteorologe über deutsches Winter-Wetter, „habe ich noch nie gesehen“","Wird Deutschland zum Start des neuen Jahres gleich mal schockgefrostet? Eine unerwartete Prognose sorgt nun für Aufsehen. Ein Meteorologe gibt seine Überraschung zu,",https://quadro.burda-forward.de/ctf/e4907a41-0962-4974-8a46-4c02a28b72f6.d727ea85-35d6-4f1c-9271-92955439de0f.png?im=RegionOfInterestCrop%3D%281200%2C630%29%2CregionOfInterest%3D%28917%2C412%29&hash=1cc4af45f55f751c03814bf279c061aea1bd8c461855867aa9ec11fa1807a478,2025-01-01T14:15:00Z,,"Das neue Jahr 2025 ist erst wenige Stunden alt. Zuvor feierten die Menschen in Deutschland noch eine rauschende Silvesternacht.
Nun sorgt eine Wetter-Prognose durchaus für Aufsehen unter Meteorologe… [+2297 chars]",,de,'Frost'
https://www.autobild.de/artikel/winter-karton-schuetzt-die-wischblaetter-23490159.html,https://www.autobild.de/artikel/winter-karton-schuetzt-die-wischblaetter-23490159.html,0,www.autobild.de,Winter-Tipp: So hilft ein Karton bei Nachtfrost,Im Winter sind gute Wischblätter essenziell für den richtigen Durchblick. So kann man sie mit einem kleinen Kniff gegen Frost schützen!,https://i.auto-bild.de/ir_img/3/3/1/5/3/7/5/13-12-2013--vereiste-Scheiben-im-Winter-steht-auf-der-vereisten-Scheibe-eines-2869-1200x675-62eca280130b414f.jpg?impolicy=og_images,2025-01-02T05:00:00Z,,"Wenn der Winter kommt, können Autofahrer Tipps und Tricks gegen Kälte, Schnee und Eis gut gebrauchen. Und tatsächlich gibt es ein paar gute Lifehacks also Kniffe, mit denen man sich gegen die typisch… [+1341 chars]",,de,'Frost'
https://www.zeit.de/news/2025-01/02/schnee-regen-und-glaette-in-nrw-erwartet,https://www.zeit.de/news/2025-01/02/schnee-regen-und-glaette-in-nrw-erwartet,0,www.zeit.de,"Wetter: Schnee, Regen und Glätte in NRW erwartet","Hier finden Sie Informationen zu dem Thema „Wetter“. Lesen Sie jetzt „Schnee, Regen und Glätte in NRW erwartet“.",https://img.zeit.de/news/2025-01/02/schnee-regen-und-glaette-in-nrw-erwartet-image-group/wide__1300x731,2025-01-02T05:58:30Z,,"Eine Mischung aus Schnee und Regen erwartet die Menschen in Nordrhein-Westfalen auf dem Weg zum ersten Wochenende des Jahres. Am Vormittag schneit es oberhalb von 200 bis 300 Metern, wie der Deutsche… [+1123 chars]",,de,'Glätte'
https://www.zeit.de/news/2025-01/02/winterwetter-in-hessen-meteorologen-warnen-vor-glaette,https://www.zeit.de/news/2025-01/02/winterwetter-in-hessen-meteorologen-warnen-vor-glaette,0,www.zeit.de,Ausblick: Winterwetter in Hessen - Meteorologen warnen vor Glätte,Hier finden Sie Informationen zu dem Thema „Ausblick“. Lesen Sie jetzt „Winterwetter in Hessen - Meteorologen warnen vor Glätte“.,https://img.zeit.de/news/2025-01/02/winterwetter-in-hessen-meteorologen-warnen-vor-glaette-image-group/wide__1300x731,2025-01-02T06:01:54Z,,"In Hessen wird das Wetter zum Wochenende winterlich: Wind und Regen werden von Schnee und Frost abgelöst. Der Deutsche Wetterdienst (DWD) in Offenbach am Main warnt vor Glätte. 
Heute ist der Himmel… [+642 chars]",,de,'Glätte'
https://www.zeit.de/news/2025-01/02/glaettegefahr-bei-schnee-und-frost-im-suedwesten,https://www.zeit.de/news/2025-01/02/glaettegefahr-bei-schnee-und-frost-im-suedwesten,0,www.zeit.de,Winterwetter: Glättegefahr bei Schnee und Frost im Südwesten,Hier finden Sie Informationen zu dem Thema „Winterwetter“. Lesen Sie jetzt „Glättegefahr bei Schnee und Frost im Südwesten“.,https://img.zeit.de/news/2025-01/02/glaettegefahr-bei-schnee-und-frost-im-suedwesten-image-group/wide__1300x731,2025-01-02T07:56:59Z,,"Im Südwesten besteht wegen überfrierender Nässe und Schneematsch die Gefahr von Glätte auf den Straßen. Im Laufe des Tages kommt es zu Regen und Schneefall, wie der Deutsche Wetterdienst (DWD) aus St… [+664 chars]",,de,'Frost'
https://www.zeit.de/news/2025-01/02/dwd-schnee-und-glaette-in-oestlichen-bundeslaendern-erwartet,https://www.zeit.de/news/2025-01/02/dwd-schnee-und-glaette-in-oestlichen-bundeslaendern-erwartet,0,www.zeit.de,Wetter: DWD: Schnee und Glätte in östlichen Bundesländern erwartet,Hier finden Sie Informationen zu dem Thema „Wetter“. Lesen Sie jetzt „DWD: Schnee und Glätte in östlichen Bundesländern erwartet“.,https://img.zeit.de/news/2025-01/02/dwd-schnee-und-glaette-in-oestlichen-bundeslaendern-erwartet-image-group/wide__1300x731,2025-01-02T10:18:36Z,,Frühaufsteher können sich am Samstag nach Angaben des Deutschen Wetterdienstes (DWD) selbst in den Tieflagen mehrerer ostdeutscher Bundesländer auf eine leichte Schneedecke freuen. Grund für die wint… [+908 chars],,de,'Glätte'
https://www.stern.de/gesellschaft/regional/sachsen/wetter--dwd--schnee-und-glaette-in-oestlichen-bundeslaendern-erwartet-35349650.html,https://www.stern.de/gesellschaft/regional/sachsen/wetter--dwd--schnee-und-glaette-in-oestlichen-bundeslaendern-erwartet-35349650.html,0,www.stern.de,Wetter: DWD: Schnee und Glätte in östlichen Bundesländern erwartet,Eine Kaltfront bringt den ostdeutschen Bundesländern winterliches Wetter. Autofahrerinnen und Autofahrer müssen in den nächsten Tagen besonders auf glatte Straßen achten.,https://image.stern.de/35349652/t/on/v1/w1440/r1.7778/-/02--mhkbthpugyv3axs2048jpeg---3c6c05fc37b0043c.jpg,2025-01-02T10:18:36Z,https://web.archive.org/web/20250114013909/https://www.stern.de/gesellschaft/regional/sachsen/wetter--dwd--schnee-und-glaette-in-oestlichen-bundeslaendern-erwartet-35349650.html,"Kopiere den aktuellen Link
Eine Kaltfront bringt den ostdeutschen Bundesländern winterliches Wetter. Autofahrerinnen und Autofahrer müssen in den nächsten Tagen besonders auf glatte Straßen achten.… [+1068 chars]",,de,'Glätte'
https://www.n-tv.de/wirtschaft/Gaspreis-steigt-als-Reaktion-auf-Lieferstopp-article25462737.html,https://www.n-tv.de/wirtschaft/Gaspreis-steigt-als-Reaktion-auf-Lieferstopp-article25462737.html,0,www.n-tv.de,Alternativen sind gefragt: Gaspreis steigt als Reaktion auf Lieferstopp,Russland hat die Gaslieferungen nach Europa durch die Ukraine eingestellt. Die Gasmärkte reagieren sofort. Der ausbleibende Nachschub trifft derweil auf einen Kälteeinbruch.,https://bilder2.n-tv.de/img/incoming/crop24960761/9951326600-cImg_16_9-w1200/454619260.jpg,2025-01-02T10:21:18Z,,"Russland hat die Gaslieferungen nach Europa durch die Ukraine eingestellt. Die Gasmärkte reagieren sofort. Der ausbleibende Nachschub trifft derweil auf einen Kälteeinbruch.
Seit Jahresbeginn fließt… [+2873 chars]",,de,'Kälteeinbruch'
https://www.bild.de/news/wetter/wetter-kaltfront-trifft-deutschland-schnee-frost-und-glaette-67763120c059a7065063928c,https://www.bild.de/news/wetter/wetter-kaltfront-trifft-deutschland-schnee-frost-und-glaette-67763120c059a7065063928c,0,www.bild.de,"Achtung, Schnee und Glatteis - Jetzt kommt das Rutsch-Wetter","Deutschland erwartet eine Kaltfront mit Schnee, Frost und Glättegefahr, besonders in Bayern, Baden-Württemberg und Hessen. Nun kommt das Rutsch-Wetter.","https://images.bild.de/67763120c059a7065063928c/ef4a7cee4abccace52738480bee516a9,11703567?w=1280",2025-01-02T10:25:36Z,,"Erst der Sturm, jetzt der Winter! Eine Kaltfront lässt die Temperaturen in Richtung Gefrierpunkt sinken. Dazu Schneeregen und Schnee. 
Am Freitag lockert es laut Deutschem Wetterdienst zunächst etwa… [+2775 chars]",,de,'Eis Frost'
