,phrase,label,sentiment,subjectivity,language,count
DWD,DWD,MISC,-0.758558558558558,0.21171171171171171,de,261
Lesen Sie jetzt „,Lesen Sie jetzt „,MISC,,,de,86
Frost,Frost,MISC,-0.037037037037037056,0.037037037037037035,de,70
Weihnachten,Weihnachten,MISC,-4.7666666666666675,6.833333333333333,de,68
Deutschem Wetterdienst,Deutschem Wetterdienst,MISC,,,de,44
Berliner,Berliner,MISC,,,de,44
Lesen Sie jetzt „Schnee,Lesen Sie jetzt „Schnee,MISC,,,de,39
Der Winter,Der Winter,MISC,,,de,27
Schweizer,Schweizer,MISC,,,de,25
Deutscher,Deutscher,MISC,,,de,23
Deutscher Wetterdienst,Deutscher Wetterdienst,MISC,,,de,21
Deutsche Wetterdienst,Deutsche Wetterdienst,MISC,-0.5888888888888888,0.0,de,21
deutschen,deutschen,MISC,,,de,17
Nachts,Nachts,MISC,-6.1000000000000005,0.0,de,17
Lesen Sie jetzt „Glätte,Lesen Sie jetzt „Glätte,MISC,,,de,17
TTS-Player,TTS-Player,MISC,,,de,17
Tages,Tages,MISC,,,de,16
Sturmtief Elli,Sturmtief Elli,MISC,,,de,16
Lesen Sie jetzt „Frost,Lesen Sie jetzt „Frost,MISC,,,de,15
Deutschen,Deutschen,MISC,,,de,15
Bodenfrost,Bodenfrost,MISC,-0.7020833333333333,0.10416666666666666,de,13
Sturm,Sturm,MISC,-0.4916666666666667,0.0,de,13
Weiße Weihnachten,Weiße Weihnachten,MISC,,,de,12
Lesen Sie jetzt „Wetterdienst,Lesen Sie jetzt „Wetterdienst,MISC,,,de,11
Lesen Sie jetzt „Glättegefahr,Lesen Sie jetzt „Glättegefahr,MISC,,,de,11
Tag,Tag,MISC,,,de,11
Glätte-Unfälle,Glätte-Unfälle,MISC,0.175,0.75,de,10
Hamburger,Hamburger,MISC,,,de,10
deutsche,deutsche,MISC,,,de,9
Ostern,Ostern,MISC,,,de,9
Deutsche,Deutsche,MISC,,,de,9
Wetterdienst,Wetterdienst,MISC,-0.13039215686274508,0.029411764705882353,de,9
Wechselhaftes Wetter,Wechselhaftes Wetter,MISC,,,de,8
Lesen Sie jetzt „Winterwetter,Lesen Sie jetzt „Winterwetter,MISC,,,de,8
Lesen Sie jetzt „Sonne,Lesen Sie jetzt „Sonne,MISC,,,de,7
DWD-Vorhersage,DWD-Vorhersage,MISC,,,de,7
S…,S…,MISC,-0.5249999999999999,0.0,de,7
Zeit,Zeit,MISC,,,de,7
BILD,BILD,MISC,,,de,7
Deutsche Kopiere,Deutsche Kopiere,MISC,,,de,7
Starker Schneefall,Starker Schneefall,MISC,,,de,7
Eisige Nächte,Eisige Nächte,MISC,,,de,7
Nacht auf Sonntag,Nacht auf Sonntag,MISC,,,de,7
Freizeit-Wintersport,Freizeit-Wintersport,MISC,,,de,6
Lesen Sie jetzt „Frost und Glätte,Lesen Sie jetzt „Frost und Glätte,MISC,,,de,6
Frost und Sonne,Frost und Sonne,MISC,,,de,6
Lesen Sie jetzt „Glatteis,Lesen Sie jetzt „Glatteis,MISC,,,de,6
Glatteis,Glatteis,MISC,0.02,0.0,de,6
T…,T…,MISC,,,de,6
Frostige Nächte,Frostige Nächte,MISC,-1.0999999999999996,0.0,de,6
Fahrbahn,Fahrbahn,MISC,0.021212121212121213,0.0303030303030303,de,5
Pixel-Smartphones,Pixel-Smartphones,MISC,,,de,5
Lesen Sie jetzt „Nebel,Lesen Sie jetzt „Nebel,MISC,,,de,5
Rutschen,Rutschen,MISC,0.07500000000000001,0.0,de,5
britische,britische,MISC,,,de,5
Fest,Fest,MISC,,,de,5
Winterspiele,Winterspiele,MISC,,,de,5
Heftiger Schneefall,Heftiger Schneefall,MISC,,,de,5
Eisheiligen,Eisheiligen,MISC,,,de,5
Frost und Trockenheit,Frost und Trockenheit,MISC,,,de,5
Lesen Sie jetzt „Schneefall,Lesen Sie jetzt „Schneefall,MISC,,,de,5
Weihnachtsfest,Weihnachtsfest,MISC,,,de,5
Blitzeis,Blitzeis,MISC,0.35,0.1,de,5
Nacht zum Sonntag,Nacht zum Sonntag,MISC,,,de,5
Karlsruhe,Karlsruhe,MISC,,,de,4
Sturm und Unwetter,Sturm und Unwetter,MISC,,,de,4
Des Läufers nasskalte Füße,Des Läufers nasskalte Füße,MISC,,,de,4
Regional,Regional,MISC,,,de,4
Mehr</li><li,Mehr</li><li,MISC,,,de,4
Ausgerechnet,Ausgerechnet,MISC,,,de,4
Frost am Auto,Frost am Auto,MISC,,,de,4
Nächtlicher Frost,Nächtlicher Frost,MISC,2.85,0.0,de,4
Streusalz-Vorstoß,Streusalz-Vorstoß,MISC,,,de,4
Lesen Sie jetzt „Frostige Nächte,Lesen Sie jetzt „Frostige Nächte,MISC,,,de,4
E-Mail</li><li,E-Mail</li><li,MISC,,,de,4
Sturmtief,Sturmtief,MISC,0.0,1.0,de,4
Lesen Sie jetzt „Obstbauern,Lesen Sie jetzt „Obstbauern,MISC,,,de,4
österreichische,österreichische,MISC,,,de,4
Die neue Woche,Die neue Woche,MISC,,,de,4
Pixel 10,Pixel 10,MISC,,,de,4
Leipziger,Leipziger,MISC,,,de,4
Deutschen Wetter,Deutschen Wetter,MISC,,,de,4
Frankfurter,Frankfurter,MISC,,,de,4
BILDBoxx,BILDBoxx,MISC,,,de,4
Lesen Sie jetzt „Eis und Schnee,Lesen Sie jetzt „Eis und Schnee,MISC,,,de,4
Lesen Sie jetzt „Schnee und Glätte,Lesen Sie jetzt „Schnee und Glätte,MISC,,,de,4
Nasskaltes Wetter,Nasskaltes Wetter,MISC,,,de,4
Frost und Glätte,Frost und Glätte,MISC,,,de,4
Lesen Sie jetzt „Frost und Sonne,Lesen Sie jetzt „Frost und Sonne,MISC,,,de,4
Frühling am Tag,Frühling am Tag,MISC,,,de,4
"Sturmtief ""Elli","Sturmtief ""Elli",MISC,0.0,0.0,de,4
Olympia-Tradition,Olympia-Tradition,MISC,,,de,4
Harry,Harry,MISC,,,de,4
Rekordhoch,Rekordhoch,MISC,,,de,4
Freistaats,Freistaats,MISC,-0.175,0.25,de,4
Frost am Morgen,Frost am Morgen,MISC,,,de,4
Smillas Gespür für Schnee,Smillas Gespür für Schnee,MISC,,,de,4
Das Wetter in Deutschland,Das Wetter in Deutschland,MISC,,,de,4
Wer draußen unterwegs,Wer draußen unterwegs,MISC,,,de,3
Winterlicher Wochenstart,Winterlicher Wochenstart,MISC,,,de,3
hessischen,hessischen,MISC,,,de,3
Münchner,Münchner,MISC,,,de,3
ORF-Wetterredaktion,ORF-Wetterredaktion,MISC,,,de,3
Ski-WM,Ski-WM,MISC,,,de,3
Schneechaos,Schneechaos,MISC,,,de,3
Meteor,Meteor,MISC,,,de,3
D…,D…,MISC,0.0,0.0,de,3
Extreme Wetterereignisse,Extreme Wetterereignisse,MISC,,,de,3
Glatteisunfälle auf,Glatteisunfälle auf,MISC,,,de,3
Überfrierender Regen,Überfrierender Regen,MISC,2.0999999999999996,0.0,de,3
Lesen Sie jetzt „Glatteisgefahr,Lesen Sie jetzt „Glatteisgefahr,MISC,,,de,3
TV,TV,MISC,,,de,3
Herabfallendes Eis,Herabfallendes Eis,MISC,,,de,3
sächsischen,sächsischen,MISC,,,de,3
Aprilfrost,Aprilfrost,MISC,,,de,3
Wetter-Vorhersage,Wetter-Vorhersage,MISC,,,de,3
Zweites Jahr,Zweites Jahr,MISC,,,de,3
Nordische Ski-WM,Nordische Ski-WM,MISC,,,de,3
Olympischen Spiele,Olympischen Spiele,MISC,,,de,3
KI,KI,MISC,,,de,3
Grünen-Vorschlag,Grünen-Vorschlag,MISC,,,de,3
Spiele,Spiele,MISC,,,de,3
Milder Herbst,Milder Herbst,MISC,,,de,3
Adventswochenende,Adventswochenende,MISC,,,de,3
Viren,Viren,MISC,,,de,3
Gefrierender Regen,Gefrierender Regen,MISC,0.06999999999999999,0.0,de,3
Jetstream,Jetstream,MISC,,,de,3
Frostiges Adventswochenende,Frostiges Adventswochenende,MISC,,,de,3
Tag in Berlin,Tag in Berlin,MISC,,,de,3
Wer abends und am Morgen auf den Straßen,Wer abends und am Morgen auf den Straßen,MISC,,,de,3
Baustelle,Baustelle,MISC,,,de,3
Sonniges,Sonniges,MISC,,,de,3
Weltmeisterschaften,Weltmeisterschaften,MISC,,,de,3
Unfallzahl,Unfallzahl,MISC,,,de,3
Ski-Weltcup,Ski-Weltcup,MISC,,,de,3
Lesen Sie jetzt „Sonne und Frost,Lesen Sie jetzt „Sonne und Frost,MISC,,,de,3
Samstagnachmittag,Samstagnachmittag,MISC,,,de,3
WM-Gold,WM-Gold,MISC,,,de,3
italienischen,italienischen,MISC,,,de,3
Google Play Store,Google Play Store,MISC,,,de,3
Glätte-Vorhersage,Glätte-Vorhersage,MISC,,,de,3
Lesen Sie jetzt „Nebel und Frost,Lesen Sie jetzt „Nebel und Frost,MISC,,,de,3
Alpendörfer wie Blatten,Alpendörfer wie Blatten,MISC,,,de,3
Lesen Sie jetzt „Wetter,Lesen Sie jetzt „Wetter,MISC,,,de,3
WM,WM,MISC,,,de,3
Die nächsten Tage,Die nächsten Tage,MISC,,,de,3
Empfohlener redaktioneller Inhalt,Empfohlener redaktioneller Inhalt,MISC,,,de,3
Lesen Sie jetzt „Polizei,Lesen Sie jetzt „Polizei,MISC,,,de,3
Neue Gerüchte,Neue Gerüchte,MISC,,,de,3
Browser,Browser,MISC,,,de,3
Heftiger Schneefall:,Heftiger Schneefall:,MISC,,,de,3
Google,Google,MISC,,,de,3
Pixel Wetter,Pixel Wetter,MISC,,,de,3
Kräftiger Wind,Kräftiger Wind,MISC,,,de,3
Strahlender Sonnenschein,Strahlender Sonnenschein,MISC,,,de,3
JavaScript,JavaScript,MISC,,,de,3
Harry Potter,Harry Potter,MISC,,,de,3
Deutschen Wetterdienst,Deutschen Wetterdienst,MISC,0.25,0.75,de,3
deutsches,deutsches,MISC,,,de,3
Deutsche Wette,Deutsche Wette,MISC,,,de,3
Adblocker,Adblocker,MISC,,,de,3
Der Frühling,Der Frühling,MISC,,,de,3
Lesen Sie jetzt „Wolken,Lesen Sie jetzt „Wolken,MISC,,,de,3
Gesunde Wasservögel,Gesunde Wasservögel,MISC,,,de,3
Strenger Frost,Strenger Frost,MISC,,,de,3
Lesen Sie jetzt „Schnee und Eis,Lesen Sie jetzt „Schnee und Eis,MISC,,,de,3
Lesen Sie jetzt „Glätte und Frost,Lesen Sie jetzt „Glätte und Frost,MISC,,,de,3
Asyl-Zahlen,Asyl-Zahlen,MISC,,,de,3
Leichter Frost,Leichter Frost,MISC,,,de,3
französische,französische,MISC,,,de,3
Deutschem Wetterdienst Kopiere,Deutschem Wetterdienst Kopiere,MISC,,,de,3
Lesen Sie jetzt „Wintersonne,Lesen Sie jetzt „Wintersonne,MISC,,,de,3
niederländische,niederländische,MISC,,,de,3
Lesen Sie jetzt „Mehrere Unfälle,Lesen Sie jetzt „Mehrere Unfälle,MISC,,,de,3
Ukraine-Krieg,Ukraine-Krieg,MISC,,,de,3
Wettervorhersage,Wettervorhersage,MISC,0.0,0.0,de,3
Donner,Donner,MISC,,,de,3
Kalte Nächte,Kalte Nächte,MISC,,,de,3
Schneeregen,Schneeregen,MISC,0.0,0.0,de,3
Herz aus Eis,Herz aus Eis,MISC,,,de,3
Spott im Netz,Spott im Netz,MISC,,,de,3
Deutsch,Deutsch,MISC,,,de,3
französischen,französischen,MISC,,,de,3
A66,A66,MISC,2.0,0.0,de,3
Donnerstag Schneefall,Donnerstag Schneefall,MISC,,,de,3
Leise rieselt der Schnee,Leise rieselt der Schnee,MISC,,,de,3
Monats für Frost - alles,Monats für Frost - alles,MISC,,,de,2
TTS Player,TTS Player,MISC,,,de,2
Aktionenwoche,Aktionenwoche,MISC,,,de,2
ZEIT am Wochenende,ZEIT am Wochenende,MISC,,,de,2
Deutschen We,Deutschen We,MISC,,,de,2
Vereiste Scheiben und Spiegel,Vereiste Scheiben und Spiegel,MISC,,,de,2
Lesen Sie jetzt „Wetter in,Lesen Sie jetzt „Wetter in,MISC,,,de,2
Q…,Q…,MISC,,,de,2
Snowline,Snowline,MISC,,,de,2
Das Sturmtief «Elli,Das Sturmtief «Elli,MISC,,,de,2
Der plötzliche Schneefall,Der plötzliche Schneefall,MISC,,,de,2
E-Volvo,E-Volvo,MISC,,,de,2
"Das Sturmtief ""Elli","Das Sturmtief ""Elli",MISC,,,de,2
baden-württembergischen,baden-württembergischen,MISC,,,de,2
Icon Packs,Icon Packs,MISC,,,de,2
FOCUS-online-Autorin,FOCUS-online-Autorin,MISC,,,de,2
Rittersport,Rittersport,MISC,,,de,2
Wetter und Frost,Wetter und Frost,MISC,,,de,2
Bauernverbänden,Bauernverbänden,MISC,,,de,2
Cold Snap,Cold Snap,MISC,,,de,2
Silvestertag,Silvestertag,MISC,,,de,2
Urlaubsrückkehrer,Urlaubsrückkehrer,MISC,0.0,0.0,de,2
Regen und Frost,Regen und Frost,MISC,,,de,2
Blitzeis auf,Blitzeis auf,MISC,,,de,2
Sonne am Tag und Frost,Sonne am Tag und Frost,MISC,,,de,2
Maifeiertag,Maifeiertag,MISC,,,de,2
Die Eisheiligen,Die Eisheiligen,MISC,,,de,2
Der Schnee,Der Schnee,MISC,,,de,2
Bahn-Fernverkehr,Bahn-Fernverkehr,MISC,0.0,0.0,de,2
R…,R…,MISC,,,de,2
Sonne am Tag,Sonne am Tag,MISC,0.0,0.0,de,2
Winterspielen,Winterspielen,MISC,,,de,2
Lesen Sie jetzt „Unfälle wegen Glätte,Lesen Sie jetzt „Unfälle wegen Glätte,MISC,,,de,2
Skifahren,Skifahren,MISC,0.0,0.0,de,2
Quellbewölkung,Quellbewölkung,MISC,,,de,2
Regen,Regen,MISC,0.0,0.0,de,2
God of War,God of War,MISC,,,de,2
Ein kleines Wunder im Schnee,Ein kleines Wunder im Schnee,MISC,,,de,2
Lesen Sie jetzt „Regen,Lesen Sie jetzt „Regen,MISC,,,de,2
Deutsche Wetterdienst Kopiere,Deutsche Wetterdienst Kopiere,MISC,,,de,2
Pixel 10-Smartphones,Pixel 10-Smartphones,MISC,,,de,2
Berlinale,Berlinale,MISC,,,de,2
emotionsloseste Heiratsantrag ever,emotionsloseste Heiratsantrag ever,MISC,,,de,2
Starcraft 2,Starcraft 2,MISC,,,de,2
Die Schneeräumung der,Die Schneeräumung der,MISC,,,de,2
Du schmeißt alte Socken,Du schmeißt alte Socken,MISC,,,de,2
Weltmeisterschaft,Weltmeisterschaft,MISC,,,de,2
Das Biest,Das Biest,MISC,,,de,2
PRO JAHR,PRO JAHR,MISC,,,de,2
